unique_id,model_label,model_name,partition,mae,coverage,width,n,perm_mae_top1_feature,perm_mae_top1,perm_dev_top1_feature,perm_dev_top1,shap_share_top1_feature,shap_share_top1
UNRATE,LGBM,LGBM,1990-1999,0.5400573678972406,0.8,1.7456351637600487,120,TB3MS_lag24,1.193978991758427,TB3MS_lag24,1.4139091556588574,TB3MS_lag24,0.197187823416637
UNRATE,RIDGE,RIDGE,1990-1999,0.5703753585017453,0.8083333333333333,1.7309121395145621,120,TB3MS_lag24,1.0493610582880981,TB3MS_lag24,1.1008588060485212,TB3MS_lag24,0.4816067786060031
UNRATE,RIDGE,RIDGE,2000-2008,0.5749828610058595,0.6944444444444444,1.5242402684554202,108,TB3MS_lag24,1.0082825055975322,TB3MS_lag24,1.0074473836747395,TB3MS_lag24,0.6081409738406178
UNRATE,LR,LR,2000-2008,0.5961950580158992,0.7222222222222222,1.6642667528932842,108,TB3MS_lag24,1.117069179226338,USREC_lag24,1.1511456712960122,DPCERA3M086SBEA_lag24,0.34268739568266293
UNRATE,LGBM,LGBM,2009-2019,0.870237496032664,0.7803030303030303,3.1671509077031614,132,CPIAUCSL_lag24,1.0641821840438748,CPIAUCSL_lag24,1.1762109968564056,TB3MS_lag24,0.2890990131029666
UNRATE,RIDGE,RIDGE,2009-2019,0.9104716787353265,0.803030303030303,3.2695131378712334,132,TB3MS_lag24,1.000609880230568,TB3MS_lag24,1.0015907617405544,TB3MS_lag24,0.6647770984761329
UNRATE,LGBM,LGBM,2020-end,1.8249917622164922,0.7941176470588235,6.626332282874788,68,RPI_lag24,1.002781763225949,USREC_lag24,0.9999999999999998,TB3MS_lag24,0.27834076201105273
UNRATE,LR,LR,2020-end,1.928929991653347,0.7794117647058824,7.221195721216242,68,TB3MS_lag24,1.0066774637989404,M2SL_lag24,1.000072303133634,DPCERA3M086SBEA_lag24,0.36681280820598977
UNRATE,LGBM,LGBM,ALL,0.8607595036133984,0.7616822429906542,2.893992702385106,428,CPIAUCSL_lag24,1.0859829979034257,CPIAUCSL_lag24,1.176954186253458,TB3MS_lag24,0.27792255902061047
UNRATE,RIDGE,RIDGE,ALL,0.8997196594186266,0.7733644859813084,3.0227767658651223,428,TB3MS_lag24,1.0171787467976505,TB3MS_lag24,1.0306594632079729,TB3MS_lag24,0.5903977917870044
